ATAR Range
99.95 211.42 230.00
99.90 208.08 211.41
99.85 206.01 208.07
99.80 204.33 206.00
99.75 202.98 204.32
99.70 201.93 202.97
99.65 200.92 201.92
99.60 199.91 200.91
99.55 199.05 199.90
99.50 198.20 199.04
99.45 197.59 198.19
99.40 196.97 197.58
99.35 196.19 196.96
99.30 195.44 196.18
99.25 194.80 195.43
99.20 194.14 194.79
99.15 193.63 194.13
99.10 193.21 193.62
99.05 192.55 193.20
99.00 192.10 192.54
98.95 191.64 192.09
98.90 191.13 191.63
98.85 190.69 191.12
98.80 190.25 190.68
98.75 189.77 190.24
98.70 189.32 189.76
98.65 188.85 189.31
98.60 188.51 188.84
98.55 188.02 188.50
98.50 187.53 188.01
98.45 187.14 187.52
98.40 186.78 187.13
98.35 186.38 186.77
ATAR Range
98.30 185.98 186.37
98.25 185.67 185.97
98.20 185.24 185.66
98.15 184.94 185.23
98.10 184.57 184.93
98.05 184.20 184.56
98.00 183.81 184.19
97.95 183.51 183.80
97.90 183.23 183.50
97.85 182.91 183.22
97.80 182.59 182.90
97.75 182.29 182.58
97.70 182.05 182.28
97.65 181.73 182.04
97.60 181.41 181.72
97.55 181.17 181.40
97.50 180.84 181.16
97.45 180.58 180.83
97.40 180.25 180.57
97.35 179.85 180.24
97.30 179.60 179.84
97.25 179.32 179.59
97.20 179.09 179.31
97.15 178.84 179.08
97.10 178.56 178.83
97.05 178.34 178.55
97.00 178.10 178.33
96.95 177.85 178.09
96.90 177.57 177.84
96.85 177.30 177.56
96.80 177.10 177.29
96.75 176.88 177.09
96.70 176.67 176.87
ATAR Range
96.65 176.47 176.66
96.60 176.27 176.46
96.55 176.04 176.26
96.50 175.81 176.03
96.45 175.59 175.80
96.40 175.36 175.58
96.35 175.15 175.35
96.30 174.90 175.14
96.25 174.72 174.89
96.20 174.49 174.71
96.15 174.29 174.48
96.10 174.09 174.28
96.05 173.82 174.08
96.00 173.56 173.81
95.95 173.37 173.55
95.90 173.09 173.36
95.85 172.89 173.08
95.80 172.68 172.88
95.75 172.50 172.67
95.70 172.31 172.49
95.65 172.12 172.30
95.60 171.94 172.11
95.55 171.70 171.93
95.50 171.55 171.69
95.45 171.36 171.54
95.40 171.20 171.35
95.35 171.04 171.19
95.30 170.88 171.03
95.25 170.70 170.87
95.20 170.55 170.69
95.15 170.39 170.54
95.10 170.21 170.38
95.05 170.02 170.20
ATAR Range
95.00 169.85 170.01
94.95 169.66 169.84
94.90 169.47 169.65
94.85 169.28 169.46
94.80 169.14 169.27
94.75 168.98 169.13
94.70 168.80 168.97
94.65 168.62 168.79
94.60 168.41 168.61
94.55 168.23 168.40
94.50 168.06 168.22
94.45 167.92 168.05
94.40 167.76 167.91
94.35 167.58 167.75
94.30 167.43 167.57
94.25 167.26 167.42
94.20 167.12 167.25
94.15 166.98 167.11
94.10 166.82 166.97
94.05 166.63 166.81
94.00 166.49 166.62
93.95 166.28 166.48
93.90 166.13 166.27
93.85 165.92 166.12
93.80 165.77 165.91
93.75 165.60 165.76
93.70 165.44 165.59
93.65 165.25 165.43
93.60 165.11 165.24
93.55 164.94 165.10
93.50 164.82 164.93
93.45 164.66 164.81
93.40 164.53 164.65
93.35 164.38 164.52
ATAR Range
93.30 164.21 164.37
93.25 164.09 164.20
93.20 163.97 164.08
93.15 163.78 163.96
93.10 163.61 163.77
93.05 163.46 163.60
93.00 163.30 163.45
92.95 163.18 163.29
92.90 163.04 163.17
92.85 162.94 163.03
92.80 162.78 162.93
92.75 162.59 162.77
92.70 162.46 162.58
92.65 162.33 162.45
92.60 162.16 162.32
92.55 162.00 162.15
92.50 161.85 161.99
92.45 161.71 161.84
92.40 161.57 161.70
92.35 161.42 161.56
92.30 161.31 161.41
92.25 161.17 161.30
92.20 161.08 161.16
92.15 160.96 161.07
92.10 160.81 160.95
92.05 160.69 160.80
92.00 160.53 160.68
91.95 160.39 160.52
91.90 160.24 160.38
91.85 160.10 160.23
91.80 159.97 160.09
91.75 159.80 159.96
91.70 159.67 159.79
91.65 159.54 159.66
ATAR Range
91.60 159.40 159.53
91.55 159.26 159.39
91.50 159.15 159.25
91.45 159.01 159.14
91.40 158.86 159.00
91.35 158.70 158.85
91.30 158.59 158.69
91.25 158.46 158.58
91.20 158.32 158.45
91.15 158.18 158.31
91.10 158.03 158.17
91.05 157.92 158.02
91.00 157.79 157.91
90.95 157.68 157.78
90.90 157.57 157.67
90.85 157.41 157.56
90.80 157.28 157.40
90.75 157.15 157.27
90.70 157.05 157.14
90.65 156.93 157.04
90.60 156.80 156.92
90.55 156.65 156.79
90.50 156.48 156.64
90.45 156.33 156.47
90.40 156.18 156.32
90.35 156.02 156.17
90.30 155.86 156.01
90.25 155.75 155.85
90.20 155.64 155.74
90.15 155.54 155.63
90.10 155.43 155.53
90.05 155.31 155.42
90.00 155.19 155.30
89.95 155.05 155.18
ATAR Range
89.90 154.94 155.04
89.85 154.80 154.93
89.80 154.67 154.79
89.75 154.55 154.66
89.70 154.42 154.54
89.65 154.31 154.41
89.60 154.19 154.30
89.55 154.09 154.18
89.50 153.94 154.08
89.45 153.82 153.93
89.40 153.71 153.81
89.35 153.62 153.70
89.30 153.51 153.61
89.25 153.39 153.50
89.20 153.25 153.38
89.15 153.12 153.24
89.10 153.02 153.11
89.05 152.92 153.01
